subj,setsize,cond,rt,acc,lm,log,exp,grp
37,16,between,0.49099375,1,0.615043929,0.565637973,exp1a,47
37,16,within,0.565712031,0.888888889,0.807568484,0.693233746,exp1a,47
38,1,between,0.544514375,1,0.504947059,0.518484737,exp1a,48
38,1,within,0.581006471,0.944444444,0.536319128,0.539172757,exp1a,48
38,2,between,0.463482708,1,0.499159309,0.498848744,exp1a,48
38,2,within,0.483899063,0.888888889,0.543426322,0.550300193,exp1a,48
38,4,between,0.471855909,0.916666667,0.487583811,0.479212752,exp1a,48
38,4,within,0.56872875,0.888888889,0.55764071,0.56142763,exp1a,48
38,8,between,0.47627,1,0.464432813,0.459576759,exp1a,48
38,8,within,0.589821364,0.916666667,0.586069486,0.572555067,exp1a,48
38,16,between,0.512165,0.916666667,0.418130819,0.439940767,exp1a,48
38,16,within,0.538230667,0.833333333,0.642927039,0.583682503,exp1a,48
39,1,between,0.468531042,1,0.47842807,0.465976099,exp1a,49
39,1,within,0.472010429,0.972222222,0.491478914,0.469323661,exp1a,49
39,2,between,0.480535208,1,0.48908296,0.493811378,exp1a,49
39,2,within,0.530135147,0.944444444,0.515776568,0.528639529,exp1a,49
39,4,between,0.540534167,1,0.51039274,0.521646657,exp1a,49
39,4,within,0.576903857,0.972222222,0.564371876,0.587955396,exp1a,49
39,8,between,0.541315652,0.958333333,0.553012299,0.549481936,exp1a,49
39,8,within,0.654140417,1,0.661562491,0.647271264,exp1a,49
39,16,between,0.556207292,1,0.638251418,0.577317215,exp1a,49
39,16,within,0.678640833,1,0.855943722,0.706587131,exp1a,49
40,1,between,0.328785435,0.958333333,0.372427078,0.351967096,exp1a,50
40,1,within,0.375972286,0.972222222,0.402516114,0.385070493,exp1a,50
40,2,between,0.377804167,1,0.378192877,0.376177716,exp1a,50
40,2,within,0.418975556,1,0.414234469,0.418184558,exp1a,50
40,4,between,0.466680417,1,0.389724475,0.400388335,exp1a,50
40,4,within,0.47701125,0.888888889,0.43767118,0.451298624,exp1a,50
40,8,between,0.379862083,1,0.412787671,0.424598955,exp1a,50
40,8,within,0.467007273,0.916666667,0.484544601,0.484412689,exp1a,50
40,16,between,0.386532917,1,0.458914063,0.448809574,exp1a,50
40,16,within,0.484090156,0.888888889,0.578291443,0.517526755,exp1a,50
41,1,between,0.458701875,1,0.467315387,0.459642924,exp1a,51
